Date,Avg,Rest,Low,Medium Stress,High Stress
2/19/2024,32,5h 4min,6h 11min,1h 28min,28min
2/18/2024,30,12h 39min,4h 27min,2h 33min,35min
2/17/2024,25,7h 44min,3h 8min,34min,7min
2/16/2024,27,10h 40min,5h 9min,2h 3min,16min
2/15/2024,20,16h 2min,5h 28min,21min,2min
2/14/2024,30,8h 16min,5h 4min,2h 31min,13min
2/13/2024,29,10h 20min,3h 43min,2h 19min,14min
2/12/2024,23,9h 57min,2h 54min,36min,7min
2/11/2024,26,12h 4min,5h 9min,1h 54min,4min
2/10/2024,28,8h 17min,5h 59min,1h 6min,12min
2/9/2024,29,6h 46min,6h 8min,1h 4min,7min
2/8/2024,29,9h 27min,6h 15min,1h 53min,7min
2/7/2024,30,10h 40min,5h 43min,1h 50min,58min
2/6/2024,31,9h 37min,5h 29min,2h 54min,19min
2/5/2024,29,10h 13min,3h 1min,2h 31min,22min
2/4/2024,22,15h 19min,4h 19min,38min,1min
2/3/2024,28,12h 0min,5h 17min,2h 14min,8min
2/2/2024,26,13h 0min,5h 12min,1h 10min,5min
2/1/2024,21,11h 10min,2h 7min,4min,--
1/31/2024,31,10h 41min,4h 56min,3h 11min,20min
1/30/2024,31,9h 45min,5h 29min,2h 57min,19min
1/29/2024,31,10h 28min,6h 2min,2h 40min,19min
1/28/2024,22,15h 4min,4h 37min,12min,--
1/27/2024,26,12h 58min,5h 9min,1h 40min,1min
1/26/2024,27,7h 57min,4h 12min,51min,8min
1/25/2024,24,11h 12min,4h 14min,49min,1min
1/24/2024,28,10h 15min,4h 22min,2h 21min,7min
1/23/2024,21,14h 54min,3h 35min,35min,--
1/22/2024,19,12h 33min,1h 28min,19min,4min
1/21/2024,20,11h 44min,2h 3min,30min,1min
1/20/2024,25,11h 14min,6h 16min,57min,7min
1/19/2024,26,9h 36min,6h 26min,42min,6min
1/18/2024,20,13h 44min,2h 9min,10min,--
1/17/2024,28,10h 38min,5h 11min,1h 39min,19min
1/16/2024,25,11h 41min,5h 38min,40min,1min
1/15/2024,27,11h 25min,5h 39min,1h 20min,19min
1/14/2024,26,12h 40min,5h 9min,1h 50min,13min
1/13/2024,38,8h 35min,3h 39min,4h 6min,1h 47min
1/12/2024,26,11h 14min,6h 49min,1h 4min,2min
1/11/2024,33,10h 58min,3h 54min,3h 20min,1h 4min
