Date,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,Quality,Duration,Bedtime,Wake Time
8/25/2024,76,56,41,95,15,Fair,6h 51min,11:44 PM,6:59 AM
8/24/2024,89,54,60,96,14,Good,8h 20min,11:43 PM,8:17 AM
8/23/2024,81,57,42,97,15,Good,7h 11min,11:47 PM,6:58 AM
8/22/2024,84,53,38,97,14,Good,8h 0min,11:14 PM,7:21 AM
8/21/2024,0,0,0,0,0,--,--,--,--
8/20/2024,87,54,55,96,16,Good,8h 0min,11:31 PM,7:37 AM
8/19/2024,85,53,62,97,15,Good,8h 0min,11:02 PM,7:14 AM
8/18/2024,78,56,47,94,14,Fair,6h 30min,1:39 AM,8:22 AM
8/29/2024,83,55,0,97,14,Good,7h 35min,10:21 PM,6:30 AM
8/28/2024,0,0,0,0,0,--,--,--,--
8/27/2024,90,53,65,95,16,Excellent,8h 4min,10:44 PM,6:55 AM
8/26/2024,78,57,0,96,15,Fair,6h 40min,12:06 AM,6:47 AM
8/25/2024,76,56,41,95,15,Fair,6h 51min,11:44 PM,6:59 AM
8/24/2024,89,54,60,96,14,Good,8h 20min,11:43 PM,8:17 AM
8/23/2024,81,57,42,97,15,Good,7h 11min,11:47 PM,6:58 AM
8/22/2024,84,53,38,97,14,Good,8h 0min,11:14 PM,7:21 AM
8/21/2024,0,0,0,0,0,--,--,--,--
8/20/2024,87,54,55,96,16,Good,8h 0min,11:31 PM,7:37 AM
8/19/2024,85,53,62,97,15,Good,8h 0min,11:02 PM,7:14 AM
8/18/2024,78,56,47,94,14,Fair,6h 30min,1:39 AM,8:22 AM
8/17/2024,88,53,46,96,15,Good,7h 56min,11:56 PM,7:52 AM
8/16/2024,81,59,34,97,15,Good,8h 23min,11:37 PM,8:02 AM
8/15/2024,87,55,48,98,15,Good,8h 43min,11:19 PM,8:02 AM
8/14/2024,79,58,35,98,14,Fair,6h 57min,1:06 AM,8:03 AM
8/13/2024,89,55,62,95,16,Good,7h 47min,11:16 PM,7:04 AM
8/12/2024,76,58,0,96,15,Fair,6h 26min,11:55 PM,6:21 AM
8/11/2024,78,54,46,96,15,Fair,6h 39min,1:14 AM,7:53 AM
8/10/2024,89,52,47,97,15,Good,7h 22min,12:38 AM,8:00 AM
8/9/2024,86,54,49,94,13,Good,7h 47min,12:01 AM,7:48 AM
8/8/2024,89,53,61,97,14,Good,7h 54min,11:14 PM,7:24 AM
8/7/2024,75,58,0,95,14,Fair,6h 24min,12:26 AM,7:33 AM
8/6/2024,80,55,56,95,14,Good,6h 50min,12:31 AM,7:22 AM
